Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
18	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN (+1)	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN&sp|P19012|K1C15_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN	 	contaminant	16.2	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	55	1	0.018	2	3	9	3	3	1	11	11	5	7	0	0	0	0	0	0	0	0	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
19	1	CONT_102|gi|88044|pir||S01068 (+2)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN&sp|P19013|K2C4_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q9NSB2|KRT84_HUMAN	 	contaminant	13.0	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	115	5	0.043	12	4	26	9	13	5	9	21	8	8	0	1	1	0	1	0	1	0	0	1	0.000	1.000	1.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000
20	1	CONT_108|gi|125090|sp|P02534|K1M1_SHEEP	 	 	CONT_046|gi|88041|pir||A31994, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN	 	contaminant	35.7	412	46674	KERATIN, TYPE I MICROFIBRILLAR 48 KD, COMPONENT 8C-1 (LOW-SULFUR KERATIN) [Ovis aries].	43	26	0.605	1	0	3	5	8	0	4	13	2	7	1	0	1	3	5	0	2	10	1	3	1.000	0.000	1.000	3.000	5.000	0.000	2.000	10.000	1.000	3.000
26	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN (+1)	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN&sp|P04259|K2C6B_HUMAN	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN	 	contaminant	31.2	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	150	0	0.000	10	17	17	8	4	14	44	18	15	3	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
33	1	REV_A0PJZ3	 	 	 	 	reversed	7.2	443	51055	REVERSED.	3	3	1.000	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0.000	1.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
34	1	REV_A1KZ92	 	 	 	 	reversed	1.0	1463	163684	REVERSED.	4	4	1.000	1	0	0	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	1.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000
35	1	REV_A2A2Y4	 	 	 	 	reversed	4.9	597	68771	REVERSED.	2	2	1.000	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
36	1	REV_A4D2P6	 	 	 	 	reversed	2.6	1211	132275	REVERSED.	3	3	1.000	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000
37	1	REV_A5D8V7	 	 	 	 	reversed	4.9	595	69139	REVERSED.	46	46	1.000	2	3	5	9	3	2	1	0	21	0	2	3	5	9	3	2	1	0	21	0	2.000	3.000	5.000	9.000	3.000	2.000	1.000	0.000	21.000	0.000
38	1	REV_A6NN06 (+1)	REV_A6NN06&REV_Q5XG85	 	 	 	reversed	34.0	94	10596	REVERSED.	73	73	1.000	4	10	4	3	7	8	12	12	4	9	4	10	4	3	7	8	12	12	4	9	4.000	10.000	4.000	3.000	7.000	8.000	12.000	12.000	4.000	9.000
39	1	REV_A8MU46	 	 	 	 	reversed	7.9	457	48952	REVERSED.	2	2	1.000	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000
40	1	REV_E9PAV3	 	 	 	 	reversed	3.8	2078	205419	REVERSED.	3	3	1.000	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0.000	0.000	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000
41	1	REV_O00159	 	 	 	 	reversed	5.3	1063	121680	REVERSED.	4	4	1.000	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000
42	1	REV_O00192	 	 	 	 	reversed	5.7	962	104641	REVERSED.	2	2	1.000	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
43	1	REV_O00327	 	 	 	 	reversed	12.5	626	68761	REVERSED.	3	3	1.000	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0.000	0.000	1.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000
44	1	REV_O00423	 	 	 	 	reversed	5.2	815	89860	REVERSED.	19	19	1.000	3	3	2	1	1	2	4	0	2	1	3	3	2	1	1	2	4	0	2	1	3.000	3.000	2.000	1.000	1.000	2.000	4.000	0.000	2.000	1.000
45	1	REV_O00519	 	 	 	 	reversed	8.3	579	63065	REVERSED.	4	4	1.000	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0.000	0.000	0.000	1.000	0.000	2.000	0.000	1.000	0.000	0.000
46	1	REV_O00522	 	 	 	 	reversed	4.9	736	84347	REVERSED.	2	2	1.000	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000
47	1	REV_O00567	 	 	 	 	reversed	4.5	594	66049	REVERSED.	2	2	1.000	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000
48	1	REV_O00750	 	 	 	 	reversed	1.3	1634	184766	REVERSED.	30	30	1.000	1	5	0	3	5	3	2	3	0	8	1	5	0	3	5	3	2	3	0	8	1.000	5.000	0.000	3.000	5.000	3.000	2.000	3.000	0.000	8.000
49	1	REV_O14511	 	 	 	 	reversed	3.3	850	91678	REVERSED.	4	4	1.000	0	1	0	0	1	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0.000	1.000	0.000	0.000	1.000	2.000	0.000	0.000	0.000	0.000
50	1	REV_O14512	 	 	 	 	reversed	5.2	581	62968	REVERSED.	4	4	1.000	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	1	0	0.000	0.000	2.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000
51	1	REV_O14746	 	 	 	 	reversed	4.1	1132	126995	REVERSED.	16	16	1.000	0	3	0	7	0	0	3	0	1	2	0	3	0	7	0	0	3	0	1	2	0.000	3.000	0.000	7.000	0.000	0.000	3.000	0.000	1.000	2.000
52	1	REV_O14786	 	 	 	 	reversed	3.1	923	103133	REVERSED.	7	7	1.000	1	0	2	0	0	0	0	2	1	1	1	0	2	0	0	0	0	2	1	1	1.000	0.000	2.000	0.000	0.000	0.000	0.000	2.000	1.000	1.000
53	1	REV_O15050	 	 	 	 	reversed	1.9	2925	336217	REVERSED.	16	16	1.000	1	2	2	1	2	2	1	2	1	2	1	2	2	1	2	2	1	2	1	2	1.000	2.000	2.000	1.000	2.000	2.000	1.000	2.000	1.000	2.000
54	1	REV_O15056	 	 	 	 	reversed	5.2	1496	165536	REVERSED.	16	16	1.000	3	4	0	0	0	2	4	2	0	1	3	4	0	0	0	2	4	2	0	1	3.000	4.000	0.000	0.000	0.000	2.000	4.000	2.000	0.000	1.000
55	1	REV_O15066	 	 	 	 	reversed	3.2	747	85124	REVERSED.	2	2	1.000	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000
56	1	REV_O15078	 	 	 	 	reversed	2.5	2479	290382	REVERSED.	5	5	1.000	0	0	1	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	2	1	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	2.000	1.000
57	1	REV_O15079	 	 	 	 	reversed	8.3	494	53536	REVERSED.	4	4	1.000	0	0	1	3	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0.000	0.000	1.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000
58	1	REV_O15085	 	 	 	 	reversed	1.7	1522	167703	REVERSED.	2	2	1.000	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000
59	1	REV_O15123	 	 	 	 	reversed	10.9	496	56919	REVERSED.	3	3	1.000	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000
60	1	REV_O15230	 	 	REV_O15230, REV_Q16787	 	reversed	1.9	3695	399733	REVERSED.	3	2	0.667	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.167	0.000	0.000
61	1	REV_O15320	 	 	 	 	reversed	3.1	804	90995	REVERSED.	3	3	1.000	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
62	1	REV_O15357	 	 	 	 	reversed	5.0	1258	138597	REVERSED.	3	3	1.000	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000
63	1	REV_O15550	 	 	 	 	reversed	5.6	1401	154175	REVERSED.	15	15	1.000	2	2	0	1	0	3	5	1	1	0	2	2	0	1	0	3	5	1	1	0	2.000	2.000	0.000	1.000	0.000	3.000	5.000	1.000	1.000	0.000
64	1	REV_O60229	 	 	 	 	reversed	1.7	2985	340170	REVERSED.	4	4	1.000	2	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
65	1	REV_O60266	 	 	 	 	reversed	4.6	1144	128959	REVERSED.	2	2	1.000	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000
66	1	REV_O60293	 	 	 	 	reversed	1.0	1989	226353	REVERSED.	2	2	1.000	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000
67	1	REV_O60296	 	 	 	 	reversed	5.7	914	101418	REVERSED.	5	5	1.000	1	0	1	1	0	0	0	2	0	0	1	0	1	1	0	0	0	2	0	0	1.000	0.000	1.000	1.000	0.000	0.000	0.000	2.000	0.000	0.000
68	1	REV_O60299	 	 	 	 	reversed	8.6	673	71790	REVERSED.	4	4	1.000	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	3	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000
69	1	REV_O60333	 	 	 	 	reversed	2.6	1816	204474	REVERSED.	5	5	1.000	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	1	0	2	1	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	2.000	1.000
70	1	REV_O60393	 	 	 	 	reversed	4.1	691	73905	REVERSED.	10	10	1.000	2	0	1	1	0	3	1	2	0	0	2	0	1	1	0	3	1	2	0	0	2.000	0.000	1.000	1.000	0.000	3.000	1.000	2.000	0.000	0.000
71	1	REV_O60437	 	 	 	 	reversed	2.3	1756	204744	REVERSED.	6	6	1.000	0	2	0	0	1	3	0	0	0	0	0	2	0	0	1	3	0	0	0	0	0.000	2.000	0.000	0.000	1.000	3.000	0.000	0.000	0.000	0.000
72	1	REV_O60486	 	 	 	 	reversed	4.8	1568	175740	REVERSED.	8	8	1.000	0	0	1	1	4	0	1	0	0	1	0	0	1	1	4	0	1	0	0	1	0.000	0.000	1.000	1.000	4.000	0.000	1.000	0.000	0.000	1.000
73	1	REV_O75027	 	 	 	 	reversed	6.9	752	82640	REVERSED.	5	5	1.000	0	0	1	0	2	1	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0.000	0.000	1.000	0.000	2.000	1.000	0.000	0.000	0.000	1.000
74	1	REV_O75037	 	 	 	 	reversed	2.5	1637	182660	REVERSED.	7	7	1.000	1	0	1	2	0	0	0	0	1	2	1	0	1	2	0	0	0	0	1	2	1.000	0.000	1.000	2.000	0.000	0.000	0.000	0.000	1.000	2.000
75	1	REV_O75110	 	 	 	 	reversed	2.6	1047	118581	REVERSED.	10	9	0.900	0	0	1	2	3	0	2	1	1	0	0	0	1	2	3	0	1	1	1	0	0.000	0.000	1.000	2.000	3.000	0.000	2.000	1.000	1.000	0.000
76	1	REV_O75145	 	 	 	 	reversed	5.8	1194	133495	REVERSED.	7	7	1.000	2	0	1	0	0	0	1	1	1	1	2	0	1	0	0	0	1	1	1	1	2.000	0.000	1.000	0.000	0.000	0.000	1.000	1.000	1.000	1.000
77	1	REV_O75152	 	 	 	 	reversed	6.2	810	89130	REVERSED.	7	7	1.000	1	2	0	0	0	2	1	1	0	0	1	2	0	0	0	2	1	1	0	0	1.000	2.000	0.000	0.000	0.000	2.000	1.000	1.000	0.000	0.000
78	1	REV_O75155	 	 	 	 	reversed	4.0	1236	135255	REVERSED.	4	4	1.000	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	2.000	0.000
79	1	REV_O75179	 	 	 	 	reversed	2.8	2603	274255	REVERSED.	12	12	1.000	2	0	1	0	3	0	0	1	3	2	2	0	1	0	3	0	0	1	3	2	2.000	0.000	1.000	0.000	3.000	0.000	0.000	1.000	3.000	2.000
80	1	REV_O75351	 	 	 	 	reversed	11.5	444	49301	REVERSED.	5	5	1.000	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	2	1	2	0	0	0.000	0.000	0.000	0.000	0.000	2.000	1.000	2.000	0.000	0.000
81	1	REV_O75970	 	 	 	 	reversed	2.0	2070	221615	REVERSED.	4	4	1.000	1	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000
82	1	REV_O75976	 	 	 	 	reversed	5.5	1380	152929	REVERSED.	13	13	1.000	1	0	1	2	1	0	1	5	1	1	1	0	1	2	1	0	1	5	1	1	1.000	0.000	1.000	2.000	1.000	0.000	1.000	5.000	1.000	1.000
83	1	REV_O76083	 	 	 	 	reversed	5.9	593	68492	REVERSED.	6	6	1.000	0	0	1	0	0	0	3	2	0	0	0	0	1	0	0	0	3	2	0	0	0.000	0.000	1.000	0.000	0.000	0.000	3.000	2.000	0.000	0.000
84	1	REV_O94832	 	 	 	 	reversed	5.3	1006	116201	REVERSED.	18	18	1.000	1	0	2	2	0	0	2	1	5	5	1	0	2	2	0	0	2	1	5	5	1.000	0.000	2.000	2.000	0.000	0.000	2.000	1.000	5.000	5.000
85	1	REV_O94915	 	 	 	 	reversed	1.9	3013	339594	REVERSED.	4	4	1.000	2	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	2.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
